CATEGORIA,NOME BOTAO,CLASSE#,CAMPO:VALOR#,,,,,,
AQUISICAO,Campo-limpo,Campo_C,tipoCampo:Limpo,ocorrenciaEm:Não identificado,geometriaAproximada:Não,,,,
AQUISICAO,Campo-sujo,Campo_C,tipoCampo:Sujo,ocorrenciaEm:Não identificado,geometriaAproximada:Não,,,,
AQUISICAO,mata,Floresta_C,caracteristicaFloresta:Mata,classificacaoPorte:Arbórea,geometriaAproximada:Não,especiePredominante:Não identificado,denso:Desconhecido,antropizada:Desconhecido,
AQUISICAO,brejo,Brejo_Pantano_C,tipoBrejoPantano:Brejo,denso:Desconhecido,geometriaAproximada:Não,antropizada:Desconhecido,,,
AQUISICAO,Eucalipto,Veg_Cultivada_C,tipoLavoura:Perene,cultivoPredominante:Eucalipto,geometriaAproximada:Não,classificacaoPorte:Arbórea,denso:Desconhecido,,
AQUISICAO,Pinus,Veg_Cultivada_C,tipoLavoura:Perene,cultivoPredominante:Pinus,geometriaAproximada:Não,classificacaoPorte:Arbórea,denso:Desconhecido,,
AQUISICAO,Cultivo-Não identificado-Perene,Veg_Cultivada_C,tipoLavoura:Perene,cultivoPredominante:Não identificado,geometriaAproximada:Não,finalidade:Desconhecida,,,
AQUISICAO,Laranja-Perene,Veg_Cultivada_C,tipoLavoura:Perene,cultivoPredominante:Laranja,geometriaAproximada:Não,,,,
AQUISICAO,Cultivada-Anual-não identificado,Veg_Cultivada_C,tipoLavoura:Anual,cultivoPredominante:Não identificado,geometriaAproximada:Não,,,,
AQUISICAO,Arroz-Anual,Veg_Cultivada_C,tipoLavoura:Anual,cultivoPredominante:Arroz,geometriaAproximada:Não,,,,
AQUISICAO,Macega,Macega_Chavascal_C,tipoMacChav:Macega,geometriaAproximada:Não,,,,,
AQUISICAO,Delimitador,VEG_D,,,,,,,
LIM,cerca,Delimitacao_Fisica_L,tipoDelimFis:Cerca,geometriaAproximada:Não,,,,,
LIM,muro,Delimitacao_Fisica_L,tipoDelimFis:Muro,geometriaAproximada:Não,,,,,
TRA,Rodovia-revestimento primário,Trecho_Rodoviario_L,tipoTrechoRod:Estrada/Rodovia,revestimento:Revestimento primário (solto),trafego:Permanente,geometriaAproximada:Não,operacional:Sim,situacaoFisica:Construída,
TRA,Rodovia-Pavimentada,Trecho_Rodoviario_L,tipoTrechoRod:Estrada/Rodovia,revestimento:Pavimentado,trafego:Permanente,geometriaAproximada:Não,operacional:Sim,situacaoFisica:Construída,
TRA,Rodovia-leito natural,Trecho_Rodoviario_L,tipoTrechoRod:Estrada/Rodovia,revestimento:Leito natural,trafego:Permanente,geometriaAproximada:Não,operacional:Sim,situacaoFisica:Construída,
